              t                   M              a
    1.23833e-21         1.00000e+17    8.00000e-01
    1.23833e-21         9.48335e+16    7.35561e-01
    1.23833e-21         9.00391e+16    6.86965e-01
    1.23833e-21         8.50895e+16    6.47358e-01
    1.23833e-21         7.96775e+16    6.14158e-01
    1.23833e-21         7.35959e+16    5.84524e-01
    1.23833e-21         6.64225e+16    5.58802e-01
    1.23833e-21         6.19960e+16    5.47159e-01
    1.23833e-21         5.68934e+16    5.35855e-01
    1.23833e-21         5.38557e+16    5.30281e-01
    1.23833e-21         5.04515e+16    5.24761e-01
    1.23833e-21         4.65558e+16    5.19292e-01
    1.23833e-21         4.19615e+16    5.13880e-01
    1.23833e-21         3.91225e+16    5.11200e-01
    1.23833e-21         3.58507e+16    5.08483e-01
    1.23833e-21         3.38983e+16    5.07131e-01
    1.23833e-21         3.17118e+16    5.05778e-01
    1.23833e-21         2.92111e+16    5.04402e-01
    1.23833e-21         2.77359e+16    5.03710e-01
    1.23833e-21         2.60986e+16    5.03014e-01
    1.23833e-21         2.42484e+16    5.02315e-01
    1.23833e-21         2.21037e+16    5.01614e-01
    1.23833e-21         2.08125e+16    5.01255e-01
    1.23833e-21         1.93558e+16    5.00894e-01
    1.23833e-21         1.76709e+16    5.00530e-01
    1.23833e-21         1.66600e+16    5.00346e-01
    1.23833e-21         1.55224e+16    5.00158e-01
    1.23833e-21         1.42118e+16    4.99970e-01
    1.23833e-21         1.34299e+16    4.99875e-01
    1.23833e-21         1.25543e+16    4.99778e-01
    1.23833e-21         1.15522e+16    4.99677e-01
    1.23833e-21         1.09604e+16    4.99625e-01
    1.23833e-21         1.03029e+16    4.99572e-01
    1.23833e-21         9.55882e+15    4.99517e-01
    1.23833e-21         8.69434e+15    4.99460e-01
    1.23833e-21         8.17185e+15    4.99430e-01
    1.23833e-21         7.58040e+15    4.99400e-01
    1.23833e-21         6.89303e+15    4.99367e-01
    1.23833e-21         6.47738e+15    4.99350e-01
    1.23833e-21         6.00667e+15    4.99333e-01
    1.23833e-21         5.45928e+15    4.99314e-01
    1.23833e-21         5.12795e+15    4.99304e-01
    1.23833e-21         4.75242e+15    4.99293e-01
    1.23833e-21         4.31519e+15    4.99282e-01
    1.23833e-21         4.05003e+15    4.99276e-01
    1.23833e-21         3.74900e+15    4.99270e-01
    1.23833e-21         3.39770e+15    4.99264e-01
    1.23833e-21         3.18385e+15    4.99260e-01
    1.23833e-21         2.94030e+15    4.99256e-01
    1.23833e-21         2.65473e+15    4.99253e-01
    1.23833e-21         2.47958e+15    4.99251e-01
    1.23833e-21         2.27881e+15    4.99248e-01
    1.23833e-21         2.15996e+15    4.99247e-01
