              t                   M              a
    1.23833e-21         1.00000e+17    8.00000e-01
    2.47665e-21         1.00000e+17    8.00000e-01
    4.95331e-21         1.00000e+17    8.00000e-01
    9.90662e-21         1.00000e+17    8.00000e-01
    1.98132e-20         1.00000e+17    8.00000e-01
    3.96265e-20         1.00000e+17    8.00000e-01
    7.92530e-20         1.00000e+17    8.00000e-01
    1.58506e-19         1.00000e+17    8.00000e-01
    3.17012e-19         1.00000e+17    8.00000e-01
    6.34024e-19         1.00000e+17    8.00000e-01
    1.26805e-18         1.00000e+17    8.00000e-01
    2.53609e-18         1.00000e+17    8.00000e-01
    5.07219e-18         1.00000e+17    8.00000e-01
    1.01444e-17         1.00000e+17    8.00000e-01
    2.02888e-17         1.00000e+17    8.00000e-01
    4.05775e-17         1.00000e+17    8.00000e-01
    8.11550e-17         1.00000e+17    8.00000e-01
    1.62310e-16         1.00000e+17    8.00000e-01
    3.24620e-16         1.00000e+17    8.00000e-01
    6.49240e-16         1.00000e+17    8.00000e-01
    1.29848e-15         1.00000e+17    8.00000e-01
    2.59696e-15         1.00000e+17    8.00000e-01
    5.19392e-15         1.00000e+17    8.00000e-01
    1.03878e-14         1.00000e+17    8.00000e-01
    2.07757e-14         1.00000e+17    8.00000e-01
    4.15514e-14         1.00000e+17    8.00000e-01
    8.31027e-14         1.00000e+17    8.00000e-01
    1.66205e-13         1.00000e+17    8.00000e-01
    3.32411e-13         1.00000e+17    8.00000e-01
    6.64822e-13         1.00000e+17    8.00000e-01
    1.32964e-12         1.00000e+17    8.00000e-01
    2.65929e-12         1.00000e+17    8.00000e-01
    5.31858e-12         1.00000e+17    8.00000e-01
    1.06372e-11         1.00000e+17    8.00000e-01
    2.12743e-11         1.00000e+17    8.00000e-01
    4.25486e-11         1.00000e+17    8.00000e-01
    8.50972e-11         1.00000e+17    8.00000e-01
    1.70194e-10         1.00000e+17    8.00000e-01
    3.40389e-10         1.00000e+17    8.00000e-01
    6.80778e-10         1.00000e+17    8.00000e-01
    1.36156e-09         1.00000e+17    8.00000e-01
    2.72311e-09         1.00000e+17    8.00000e-01
    5.44622e-09         1.00000e+17    8.00000e-01
    1.08924e-08         1.00000e+17    8.00000e-01
    2.17849e-08         1.00000e+17    8.00000e-01
    4.35698e-08         1.00000e+17    8.00000e-01
    8.71395e-08         1.00000e+17    8.00000e-01
    1.74279e-07         1.00000e+17    8.00000e-01
    3.48558e-07         1.00000e+17    8.00000e-01
    6.97116e-07         1.00000e+17    8.00000e-01
    1.39423e-06         1.00000e+17    8.00000e-01
    2.78847e-06         1.00000e+17    8.00000e-01
    5.57693e-06         1.00000e+17    8.00000e-01
    1.11539e-05         1.00000e+17    8.00000e-01
    2.23077e-05         1.00000e+17    8.00000e-01
    4.46154e-05         1.00000e+17    8.00000e-01
    8.92309e-05         1.00000e+17    8.00000e-01
    1.78462e-04         1.00000e+17    8.00000e-01
    3.56924e-04         1.00000e+17    8.00000e-01
    7.13847e-04         1.00000e+17    8.00000e-01
    1.42769e-03         1.00000e+17    8.00000e-01
    2.85539e-03         1.00000e+17    8.00000e-01
    5.71078e-03         1.00000e+17    8.00000e-01
    1.14216e-02         1.00000e+17    8.00000e-01
    2.28431e-02         1.00000e+17    8.00000e-01
    4.56862e-02         1.00000e+17    8.00000e-01
    9.13724e-02         1.00000e+17    8.00000e-01
    1.82745e-01         1.00000e+17    8.00000e-01
    3.65490e-01         9.99999e+16    7.99999e-01
    7.30979e-01         9.99999e+16    7.99998e-01
    1.46196e+00         9.99997e+16    7.99997e-01
    2.92392e+00         9.99995e+16    7.99994e-01
    5.84784e+00         9.99989e+16    7.99988e-01
    1.16957e+01         9.99979e+16    7.99976e-01
    2.33913e+01         9.99958e+16    7.99952e-01
    4.67827e+01         9.99916e+16    7.99903e-01
    9.35654e+01         9.99831e+16    7.99807e-01
    1.87131e+02         9.99663e+16    7.99613e-01
    3.74261e+02         9.99326e+16    7.99227e-01
    7.48523e+02         9.98653e+16    7.98456e-01
    1.49705e+03         9.97310e+16    7.96920e-01
    2.99409e+03         9.94633e+16    7.93872e-01
    5.98818e+03         9.89317e+16    7.87868e-01
    1.19764e+04         9.78787e+16    7.76187e-01
    1.79646e+04         9.68353e+16    7.65068e-01
    2.39527e+04         9.58008e+16    7.54491e-01
    2.99409e+04         9.47745e+16    7.44437e-01
    3.59291e+04         9.37432e+16    7.34763e-01
    4.19173e+04         9.27068e+16    7.25452e-01
    4.79055e+04         9.16643e+16    7.16495e-01
    5.38937e+04         9.06143e+16    7.07862e-01
    5.98818e+04         8.95502e+16    6.99503e-01
    6.58700e+04         8.84710e+16    6.91409e-01
    7.18582e+04         8.73755e+16    6.83575e-01
    7.78464e+04         8.62626e+16    6.75994e-01
    8.38346e+04         8.51274e+16    6.68617e-01
    8.98228e+04         8.39661e+16    6.61442e-01
    9.58109e+04         8.27771e+16    6.54464e-01
    1.01799e+05         8.15580e+16    6.47678e-01
    1.07787e+05         8.03068e+16    6.41080e-01
    1.13775e+05         7.90215e+16    6.34594e-01
    1.19764e+05         7.76987e+16    6.28200e-01
    1.25752e+05         7.63352e+16    6.21896e-01
    1.31740e+05         7.49273e+16    6.15679e-01
    1.37728e+05         7.34708e+16    6.09548e-01
    1.43716e+05         7.19610e+16    6.03501e-01
    1.49705e+05         7.03874e+16    5.97544e-01
    1.55693e+05         6.87425e+16    5.91678e-01
    1.61681e+05         6.70177e+16    5.85899e-01
    1.67669e+05         6.52026e+16    5.80206e-01
    1.73657e+05         6.32851e+16    5.74589e-01
    1.79646e+05         6.12496e+16    5.69046e-01
    1.85634e+05         5.90780e+16    5.63485e-01
    1.91622e+05         5.67461e+16    5.57849e-01
    1.97610e+05         5.42210e+16    5.52120e-01
    2.03598e+05         5.14580e+16    5.46273e-01
    2.09586e+05         4.83936e+16    5.40275e-01
    2.15575e+05         4.49328e+16    5.34074e-01
    2.21563e+05         4.09205e+16    5.27600e-01
    2.24557e+05         3.85000e+16    5.24162e-01
    2.27551e+05         3.57648e+16    5.20558e-01
    2.30545e+05         3.25942e+16    5.16748e-01
    2.32042e+05         3.06847e+16    5.14702e-01
    2.33539e+05         2.85299e+16    5.12547e-01
    2.35036e+05         2.60368e+16    5.10253e-01
    2.35785e+05         2.45398e+16    5.09013e-01
    2.36533e+05         2.28544e+16    5.07705e-01
    2.37282e+05         2.09111e+16    5.06308e-01
    2.37656e+05         1.97504e+16    5.05551e-01
    2.38030e+05         1.84491e+16    5.04752e-01
    2.38405e+05         1.69577e+16    5.03899e-01
    2.38592e+05         1.60751e+16    5.03437e-01
    2.38779e+05         1.50928e+16    5.02950e-01
    2.38966e+05         1.39784e+16    5.02432e-01
    2.39153e+05         1.26792e+16    5.01874e-01
    2.39247e+05         1.18897e+16    5.01567e-01
    2.39340e+05         1.09918e+16    5.01240e-01
    2.39434e+05         9.94120e+15    5.00887e-01
    2.39481e+05         9.29899e+15    5.00692e-01
    2.39527e+05         8.56500e+15    5.00484e-01
    2.39551e+05         8.13241e+15    5.00371e-01
    2.39574e+05         7.65257e+15    5.00251e-01
    2.39598e+05         7.11066e+15    5.00124e-01
    2.39621e+05         6.48300e+15    4.99987e-01
    2.39633e+05         6.10547e+15    4.99912e-01
    2.39644e+05         5.67979e+15    4.99832e-01
    2.39656e+05         5.18791e+15    4.99743e-01
    2.39662e+05         4.89312e+15    4.99694e-01
    2.39668e+05         4.56174e+15    4.99641e-01
    2.39674e+05         4.18046e+15    4.99583e-01
    2.39676e+05         3.95346e+15    4.99551e-01
    2.39679e+05         3.69964e+15    4.99516e-01
    2.39682e+05         3.40980e+15    4.99478e-01
    2.39684e+05         3.23920e+15    4.99457e-01
    2.39685e+05         3.05015e+15    4.99435e-01
    2.39687e+05         2.83693e+15    4.99411e-01
    2.39688e+05         2.59047e+15    4.99385e-01
    2.39689e+05         2.44267e+15    4.99370e-01
    2.39690e+05         2.27645e+15    4.99355e-01
    2.39690e+05         2.08507e+15    4.99337e-01
    2.39691e+05         1.97100e+15    4.99328e-01
    2.39691e+05         1.84335e+15    4.99318e-01
    2.39691e+05         1.69741e+15    4.99306e-01
    2.39692e+05         1.61135e+15    4.99300e-01
    2.39692e+05         1.51585e+15    4.99293e-01
    2.39692e+05         1.40795e+15    4.99286e-01
    2.39692e+05         1.28286e+15    4.99278e-01
    2.39692e+05         1.20753e+15    4.99274e-01
    2.39692e+05         1.12251e+15    4.99269e-01
    2.39692e+05         1.02412e+15    4.99264e-01
    2.39693e+05         9.65014e+14    4.99261e-01
    2.39693e+05         8.98449e+14    4.99258e-01
    2.39693e+05         8.21656e+14    4.99255e-01
    2.39693e+05         7.75747e+14    4.99253e-01
    2.39693e+05         7.24244e+14    4.99251e-01
    2.39693e+05         6.65154e+14    4.99248e-01
    2.39693e+05         6.30127e+14    4.99247e-01
    2.39693e+05         5.91098e+14    4.99246e-01
    2.39693e+05         5.46744e+14    4.99244e-01
    2.39693e+05         4.94902e+14    4.99243e-01
    2.39693e+05         4.63267e+14    4.99242e-01
    2.39693e+05         4.27162e+14    4.99241e-01
    2.39693e+05         3.84697e+14    4.99240e-01
    2.39693e+05         3.58518e+14    4.99239e-01
    2.39693e+05         3.28377e+14    4.99238e-01
    2.39693e+05         3.10412e+14    4.99238e-01
    2.39693e+05         2.90308e+14    4.99238e-01
    2.39693e+05         2.67324e+14    4.99237e-01
    2.39693e+05         2.53770e+14    4.99237e-01
    2.39693e+05         2.38730e+14    4.99237e-01
    2.39693e+05         2.21735e+14    4.99236e-01
    2.39693e+05         2.02036e+14    4.99236e-01
    2.39693e+05         1.90171e+14    4.99236e-01
    2.39693e+05         1.76781e+14    4.99236e-01
    2.39693e+05         1.61284e+14    4.99236e-01
    2.39693e+05         1.51976e+14    4.99235e-01
    2.39693e+05         1.41492e+14    4.99235e-01
    2.39693e+05         1.29397e+14    4.99235e-01
    2.39693e+05         1.22166e+14    4.99235e-01
    2.39693e+05         1.14053e+14    4.99235e-01
    2.39693e+05         1.04746e+14    4.99235e-01
    2.39693e+05         9.92288e+13    4.99235e-01
    2.39693e+05         9.30807e+13    4.99235e-01
    2.39693e+05         8.60938e+13    4.99235e-01
    2.39693e+05         7.79267e+13    4.99235e-01
    2.39693e+05         7.29424e+13    4.99235e-01
    2.39693e+05         6.72536e+13    4.99235e-01
    2.39693e+05         6.05617e+13    4.99235e-01
    2.39693e+05         5.64355e+13    4.99235e-01
    2.39693e+05         5.16838e+13    4.99235e-01
    2.39693e+05         4.88511e+13    4.99235e-01
    2.39693e+05         4.56803e+13    4.99234e-01
    2.39693e+05         4.20540e+13    4.99234e-01
    2.39693e+05         3.99146e+13    4.99234e-01
    2.39693e+05         3.75399e+13    4.99234e-01
    2.39693e+05         3.48551e+13    4.99234e-01
    2.39693e+05         3.17408e+13    4.99234e-01
    2.39693e+05         2.98632e+13    4.99234e-01
    2.39693e+05         2.77419e+13    4.99234e-01
    2.39693e+05         2.52839e+13    4.99234e-01
    2.39693e+05         2.38043e+13    4.99234e-01
    2.39693e+05         2.21351e+13    4.99234e-01
    2.39693e+05         2.02046e+13    4.99234e-01
    2.39693e+05         1.90461e+13    4.99234e-01
    2.39693e+05         1.77423e+13    4.99234e-01
    2.39693e+05         1.62400e+13    4.99234e-01
    2.39693e+05         1.53434e+13    4.99234e-01
    2.39693e+05         1.43389e+13    4.99234e-01
    2.39693e+05         1.31888e+13    4.99234e-01
    2.39693e+05         1.25091e+13    4.99234e-01
    2.39693e+05         1.17535e+13    4.99234e-01
    2.39693e+05         1.08977e+13    4.99234e-01
    2.39693e+05         9.90209e+12    4.99234e-01
    2.39693e+05         9.29918e+12    4.99234e-01
    2.39693e+05         8.61555e+12    4.99234e-01
    2.39693e+05         7.81913e+12    4.99234e-01
    2.39693e+05         7.33566e+12    4.99234e-01
    2.39693e+05         6.78637e+12    4.99234e-01
    2.39693e+05         6.14457e+12    4.99234e-01
    2.39693e+05         5.75313e+12    4.99234e-01
    2.39693e+05         5.30661e+12    4.99234e-01
    2.39693e+05         4.78178e+12    4.99234e-01
    2.39693e+05         4.45860e+12    4.99234e-01
    2.39693e+05         4.08688e+12    4.99234e-01
    2.39693e+05         3.86567e+12    4.99234e-01
    2.39693e+05         3.61842e+12    4.99234e-01
    2.39693e+05         3.33622e+12    4.99234e-01
    2.39693e+05         3.00426e+12    4.99234e-01
    2.39693e+05         2.79958e+12    4.99234e-01
    2.39693e+05         2.56387e+12    4.99234e-01
    2.39693e+05         2.42335e+12    4.99234e-01
    2.39693e+05         2.26606e+12    4.99234e-01
    2.39693e+05         2.08618e+12    4.99234e-01
    2.39693e+05         1.98006e+12    4.99234e-01
    2.39693e+05         1.86226e+12    4.99234e-01
    2.39693e+05         1.72909e+12    4.99234e-01
    2.39693e+05         1.57461e+12    4.99234e-01
    2.39693e+05         1.48147e+12    4.99234e-01
    2.39693e+05         1.37626e+12    4.99234e-01
    2.39693e+05         1.25434e+12    4.99234e-01
    2.39693e+05         1.18096e+12    4.99234e-01
    2.39693e+05         1.09817e+12    4.99234e-01
    2.39693e+05         1.00242e+12    4.99234e-01
    2.39693e+05         9.44972e+11    4.99234e-01
    2.39693e+05         8.80322e+11    4.99234e-01
    2.39693e+05         8.05827e+11    4.99234e-01
