              t                   M              a
    1.23833e-21         1.00000e+17    8.00000e-01
    2.47665e-21         1.00000e+17    8.00000e-01
    4.95331e-21         1.00000e+17    8.00000e-01
    9.90662e-21         1.00000e+17    8.00000e-01
    1.98132e-20         1.00000e+17    8.00000e-01
    3.96265e-20         1.00000e+17    8.00000e-01
    7.92530e-20         1.00000e+17    8.00000e-01
    1.58506e-19         1.00000e+17    8.00000e-01
    3.17012e-19         1.00000e+17    8.00000e-01
    6.34024e-19         1.00000e+17    8.00000e-01
    1.26805e-18         1.00000e+17    8.00000e-01
    2.53609e-18         1.00000e+17    8.00000e-01
    5.07219e-18         1.00000e+17    8.00000e-01
    1.01444e-17         1.00000e+17    8.00000e-01
    2.02888e-17         1.00000e+17    8.00000e-01
    4.05775e-17         1.00000e+17    8.00000e-01
    8.11550e-17         1.00000e+17    8.00000e-01
    1.62310e-16         1.00000e+17    8.00000e-01
    3.24620e-16         1.00000e+17    8.00000e-01
    6.49240e-16         1.00000e+17    8.00000e-01
    1.29848e-15         1.00000e+17    8.00000e-01
    2.59696e-15         1.00000e+17    8.00000e-01
    5.19392e-15         1.00000e+17    8.00000e-01
    1.03878e-14         1.00000e+17    8.00000e-01
    2.07757e-14         1.00000e+17    8.00000e-01
    4.15514e-14         1.00000e+17    8.00000e-01
    8.31027e-14         1.00000e+17    8.00000e-01
    1.66205e-13         1.00000e+17    8.00000e-01
    3.32411e-13         1.00000e+17    8.00000e-01
    6.64822e-13         1.00000e+17    8.00000e-01
    1.32964e-12         1.00000e+17    8.00000e-01
    2.65929e-12         1.00000e+17    8.00000e-01
    5.31858e-12         1.00000e+17    8.00000e-01
    1.06372e-11         1.00000e+17    8.00000e-01
    2.12743e-11         1.00000e+17    8.00000e-01
    4.25486e-11         1.00000e+17    8.00000e-01
    8.50972e-11         1.00000e+17    8.00000e-01
    1.70194e-10         1.00000e+17    8.00000e-01
    3.40389e-10         1.00000e+17    8.00000e-01
    6.80778e-10         1.00000e+17    8.00000e-01
    1.36156e-09         1.00000e+17    8.00000e-01
    2.72311e-09         1.00000e+17    8.00000e-01
    5.44622e-09         1.00000e+17    8.00000e-01
    1.08924e-08         1.00000e+17    8.00000e-01
    2.17849e-08         1.00000e+17    8.00000e-01
    4.35698e-08         1.00000e+17    8.00000e-01
    8.71395e-08         1.00000e+17    8.00000e-01
    1.74279e-07         1.00000e+17    8.00000e-01
    3.48558e-07         1.00000e+17    8.00000e-01
    6.97116e-07         1.00000e+17    8.00000e-01
    1.39423e-06         1.00000e+17    8.00000e-01
    2.78847e-06         1.00000e+17    7.99999e-01
    5.57693e-06         9.99999e+16    7.99999e-01
    1.11539e-05         9.99998e+16    7.99997e-01
    2.23077e-05         9.99996e+16    7.99995e-01
    4.46154e-05         9.99993e+16    7.99990e-01
    8.92309e-05         9.99986e+16    7.99980e-01
    1.78462e-04         9.99971e+16    7.99959e-01
    3.56924e-04         9.99942e+16    7.99919e-01
    7.13847e-04         9.99884e+16    7.99837e-01
    1.42769e-03         9.99768e+16    7.99675e-01
    2.85539e-03         9.99537e+16    7.99350e-01
    5.71078e-03         9.99074e+16    7.98701e-01
    1.14216e-02         9.98151e+16    7.97406e-01
    2.28431e-02         9.96313e+16    7.94832e-01
    4.56862e-02         9.92670e+16    7.89740e-01
    9.13724e-02         9.85515e+16    7.79751e-01
    1.37059e-01         9.78488e+16    7.70117e-01
    1.82745e-01         9.71587e+16    7.60828e-01
    2.28431e-01         9.64808e+16    7.51874e-01
    2.74117e-01         9.58132e+16    7.43217e-01
    3.19804e-01         9.51499e+16    7.34798e-01
    3.65490e-01         9.44942e+16    7.26570e-01
    4.11176e-01         9.38411e+16    7.18595e-01
    4.56862e-01         9.31902e+16    7.10867e-01
    5.02548e-01         9.25401e+16    7.03308e-01
    5.48235e-01         9.18884e+16    6.95944e-01
    5.93921e-01         9.12346e+16    6.88771e-01
    6.39607e-01         9.05787e+16    6.81786e-01
    7.30979e-01         8.92635e+16    6.68155e-01
    8.22352e-01         8.79206e+16    6.55194e-01
    9.13724e-01         8.65467e+16    6.42873e-01
    1.00510e+00         8.51414e+16    6.31078e-01
    1.09647e+00         8.36946e+16    6.19732e-01
    1.18784e+00         8.22017e+16    6.08825e-01
    1.27921e+00         8.06580e+16    5.98334e-01
    1.37059e+00         7.90438e+16    5.88317e-01
    1.46196e+00         7.73506e+16    5.78769e-01
    1.55333e+00         7.55773e+16    5.69576e-01
    1.64470e+00         7.37186e+16    5.60620e-01
    1.73608e+00         7.17517e+16    5.51963e-01
    1.82745e+00         6.96596e+16    5.43634e-01
    1.91882e+00         6.74210e+16    5.35652e-01
    2.01019e+00         6.50291e+16    5.27743e-01
    2.10157e+00         6.24253e+16    5.20240e-01
    2.19294e+00         5.95612e+16    5.13207e-01
    2.28431e+00         5.63742e+16    5.06649e-01
    2.37568e+00         5.27672e+16    5.00692e-01
    2.46706e+00         4.86080e+16    4.95192e-01
    2.51274e+00         4.61206e+16    4.92896e-01
    2.55843e+00         4.33338e+16    4.90932e-01
    2.60411e+00         4.01567e+16    4.89241e-01
    2.64980e+00         3.64311e+16    4.87975e-01
    2.67264e+00         3.41490e+16    4.87739e-01
    2.69549e+00         3.15383e+16    4.87842e-01
    2.71833e+00         2.84676e+16    4.88253e-01
    2.72975e+00         2.65762e+16    4.88716e-01
    2.74117e+00         2.44012e+16    4.89399e-01
    2.74688e+00         2.31083e+16    4.89893e-01
    2.75259e+00         2.16650e+16    4.90495e-01
    2.75831e+00         2.00220e+16    4.91203e-01
    2.76402e+00         1.80960e+16    4.92098e-01
    2.76687e+00         1.69157e+16    4.92685e-01
    2.76973e+00         1.55644e+16    4.93362e-01
    2.77115e+00         1.47660e+16    4.93764e-01
    2.77258e+00         1.38787e+16    4.94214e-01
    2.77401e+00         1.28740e+16    4.94722e-01
    2.77544e+00         1.17060e+16    4.95313e-01
    2.77615e+00         1.09996e+16    4.95658e-01
    2.77687e+00         1.01994e+16    4.96044e-01
    2.77758e+00         9.26855e+15    4.96486e-01
    2.77794e+00         8.70492e+15    4.96742e-01
    2.77829e+00         8.06589e+15    4.97026e-01
    2.77865e+00         7.32157e+15    4.97344e-01
    2.77883e+00         6.86988e+15    4.97528e-01
    2.77901e+00         6.35682e+15    4.97731e-01
    2.77919e+00         5.75759e+15    4.97958e-01
    2.77927e+00         5.39237e+15    4.98089e-01
    2.77936e+00         4.97599e+15    4.98232e-01
    2.77945e+00         4.48701e+15    4.98392e-01
    2.77950e+00         4.18633e+15    4.98484e-01
    2.77954e+00         3.84090e+15    4.98586e-01
    2.77956e+00         3.63572e+15    4.98643e-01
    2.77959e+00         3.40673e+15    4.98705e-01
    2.77961e+00         3.14593e+15    4.98773e-01
    2.77963e+00         2.84009e+15    4.98847e-01
    2.77964e+00         2.65246e+15    4.98890e-01
    2.77965e+00         2.43735e+15    4.98937e-01
    2.77966e+00         2.30997e+15    4.98963e-01
    2.77967e+00         2.16816e+15    4.98991e-01
    2.77967e+00         2.00719e+15    4.99022e-01
    2.77968e+00         1.81937e+15    4.99055e-01
    2.77968e+00         1.70506e+15    4.99075e-01
    2.77968e+00         1.57492e+15    4.99095e-01
    2.77968e+00         1.42238e+15    4.99118e-01
    2.77969e+00         1.32888e+15    4.99131e-01
    2.77969e+00         1.22175e+15    4.99145e-01
    2.77969e+00         1.15839e+15    4.99153e-01
    2.77969e+00         1.08790e+15    4.99162e-01
    2.77969e+00         1.00798e+15    4.99171e-01
    2.77969e+00         9.14880e+14    4.99181e-01
    2.77969e+00         8.58376e+14    4.99186e-01
    2.77969e+00         7.94190e+14    4.99193e-01
    2.77969e+00         7.19208e+14    4.99199e-01
    2.77969e+00         6.73493e+14    4.99203e-01
    2.77969e+00         6.21361e+14    4.99207e-01
    2.77969e+00         5.60114e+14    4.99212e-01
    2.77969e+00         5.22428e+14    4.99214e-01
    2.77969e+00         4.79108e+14    4.99217e-01
    2.77969e+00         4.53354e+14    4.99219e-01
    2.77969e+00         4.24591e+14    4.99220e-01
    2.77969e+00         3.91799e+14    4.99222e-01
    2.77969e+00         3.53288e+14    4.99224e-01
    2.77969e+00         3.29606e+14    4.99225e-01
    2.77969e+00         3.02398e+14    4.99227e-01
    2.77969e+00         2.86236e+14    4.99227e-01
    2.77969e+00         2.68198e+14    4.99228e-01
    2.77969e+00         2.47651e+14    4.99229e-01
    2.77969e+00         2.23554e+14    4.99230e-01
    2.77969e+00         2.08768e+14    4.99230e-01
    2.77969e+00         1.91813e+14    4.99231e-01
    2.77969e+00         1.81770e+14    4.99231e-01
    2.77969e+00         1.70588e+14    4.99232e-01
    2.77969e+00         1.57891e+14    4.99232e-01
    2.77969e+00         1.43070e+14    4.99232e-01
    2.77969e+00         1.34045e+14    4.99233e-01
    2.77969e+00         1.23763e+14    4.99233e-01
    2.77969e+00         1.11702e+14    4.99233e-01
    2.77969e+00         1.04299e+14    4.99233e-01
    2.77969e+00         9.58083e+13    4.99233e-01
    2.77969e+00         9.07768e+13    4.99233e-01
    2.77969e+00         8.51722e+13    4.99234e-01
    2.77969e+00         7.88056e+13    4.99234e-01
    2.77969e+00         7.13688e+13    4.99234e-01
    2.77969e+00         6.68351e+13    4.99234e-01
    2.77969e+00         6.16655e+13    4.99234e-01
    2.77969e+00         5.55928e+13    4.99234e-01
    2.77969e+00         5.18568e+13    4.99234e-01
    2.77969e+00         4.75631e+13    4.99234e-01
    2.77969e+00         4.50112e+13    4.99234e-01
    2.77969e+00         4.21617e+13    4.99234e-01
    2.77969e+00         3.89140e+13    4.99234e-01
    2.77969e+00         3.51016e+13    4.99234e-01
    2.77969e+00         3.27589e+13    4.99234e-01
    2.77969e+00         3.00691e+13    4.99234e-01
    2.77969e+00         2.84728e+13    4.99234e-01
    2.77969e+00         2.66925e+13    4.99234e-01
    2.77969e+00         2.46669e+13    4.99234e-01
    2.77969e+00         2.22948e+13    4.99234e-01
    2.77969e+00         2.08430e+13    4.99234e-01
    2.77969e+00         1.91819e+13    4.99234e-01
    2.77969e+00         1.82013e+13    4.99234e-01
    2.77969e+00         1.71121e+13    4.99234e-01
    2.77969e+00         1.58799e+13    4.99234e-01
    2.77969e+00         1.44491e+13    4.99234e-01
    2.77969e+00         1.35850e+13    4.99234e-01
    2.77969e+00         1.26074e+13    4.99234e-01
    2.77969e+00         1.14724e+13    4.99234e-01
    2.77969e+00         1.07870e+13    4.99234e-01
    2.77969e+00         1.00118e+13    4.99234e-01
    2.77969e+00         9.11186e+12    4.99234e-01
    2.77969e+00         8.56862e+12    4.99234e-01
    2.77969e+00         7.95433e+12    4.99234e-01
    2.77969e+00         7.24149e+12    4.99234e-01
    2.77969e+00         6.81144e+12    4.99234e-01
    2.77969e+00         6.32538e+12    4.99234e-01
    2.77969e+00         5.76175e+12    4.99234e-01
    2.77969e+00         5.42210e+12    4.99234e-01
    2.77969e+00         5.03856e+12    4.99234e-01
    2.77969e+00         4.59442e+12    4.99234e-01
    2.77969e+00         4.32733e+12    4.99234e-01
    2.77969e+00         4.02626e+12    4.99234e-01
    2.77969e+00         3.67848e+12    4.99234e-01
    2.77969e+00         3.47016e+12    4.99234e-01
    2.77969e+00         3.23607e+12    4.99234e-01
    2.77969e+00         2.96689e+12    4.99234e-01
    2.77969e+00         2.80677e+12    4.99234e-01
    2.77969e+00         2.62786e+12    4.99234e-01
    2.77969e+00         2.42375e+12    4.99234e-01
    2.77969e+00         2.18383e+12    4.99234e-01
    2.77969e+00         2.03606e+12    4.99234e-01
    2.77969e+00         1.86607e+12    4.99234e-01
    2.77969e+00         1.76488e+12    4.99234e-01
    2.77969e+00         1.65175e+12    4.99234e-01
    2.77969e+00         1.52260e+12    4.99234e-01
    2.77969e+00         1.37061e+12    4.99234e-01
    2.77969e+00         1.27683e+12    4.99234e-01
    2.77969e+00         1.16876e+12    4.99234e-01
    2.77969e+00         1.10427e+12    4.99234e-01
    2.77969e+00         1.03203e+12    4.99234e-01
    2.77969e+00         9.49325e+11    4.99234e-01
    2.77969e+00         9.00452e+11    4.99234e-01
    2.77969e+00         8.46130e+11    4.99234e-01
    2.77969e+00         7.84608e+11    4.99234e-01
    2.77969e+00         7.13061e+11    4.99234e-01
    2.77969e+00         6.69748e+11    4.99234e-01
    2.77969e+00         6.20652e+11    4.99234e-01
    2.77969e+00         5.63481e+11    4.99234e-01
    2.77969e+00         5.28801e+11    4.99234e-01
    2.77969e+00         4.89423e+11    4.99234e-01
    2.77969e+00         4.43454e+11    4.99234e-01
    2.77969e+00         4.15457e+11    4.99234e-01
    2.77969e+00         3.83559e+11    4.99234e-01
    2.77969e+00         3.46135e+11    4.99234e-01
    2.77969e+00         3.23159e+11    4.99234e-01
    2.77969e+00         2.96799e+11    4.99234e-01
    2.77969e+00         2.81173e+11    4.99234e-01
    2.77969e+00         2.63763e+11    4.99234e-01
    2.77969e+00         2.43979e+11    4.99234e-01
    2.77969e+00         2.20856e+11    4.99234e-01
    2.77969e+00         2.06747e+11    4.99234e-01
    2.77969e+00         1.90646e+11    4.99234e-01
    2.77969e+00         1.71711e+11    4.99234e-01
    2.77969e+00         1.60041e+11    4.99234e-01
    2.77969e+00         1.46606e+11    4.99234e-01
    2.77969e+00         1.38601e+11    4.99234e-01
