              t                   M              a
    1.23833e-21         1.00000e+17    8.00000e-01
    2.47665e-21         9.79892e+16    7.71774e-01
    3.71498e-21         9.61135e+16    7.46447e-01
    4.95331e-21         9.43135e+16    7.23417e-01
    6.19164e-21         9.25489e+16    7.02111e-01
    7.42996e-21         9.07869e+16    6.82296e-01
    8.66829e-21         8.90103e+16    6.63906e-01
    9.90662e-21         8.71863e+16    6.46704e-01
    1.11449e-20         8.53042e+16    6.30662e-01
    1.23833e-20         8.33537e+16    6.15391e-01
    1.36216e-20         8.13187e+16    6.00928e-01
    1.48599e-20         7.91738e+16    5.87281e-01
    1.60983e-20         7.68891e+16    5.74501e-01
    1.73366e-20         7.44569e+16    5.62375e-01
    1.85749e-20         7.18514e+16    5.50687e-01
    1.98132e-20         6.90269e+16    5.39569e-01
    2.10516e-20         6.59313e+16    5.29103e-01
    2.22899e-20         6.25147e+16    5.18927e-01
    2.35282e-20         5.86460e+16    5.09604e-01
    2.47665e-20         5.41725e+16    5.01225e-01
    2.60049e-20         4.88466e+16    4.93845e-01
    2.66240e-20         4.55107e+16    4.90896e-01
    2.72432e-20         4.16262e+16    4.88535e-01
    2.75528e-20         3.92820e+16    4.87713e-01
    2.78624e-20         3.66381e+16    4.87101e-01
    2.81719e-20         3.35810e+16    4.86880e-01
    2.83267e-20         3.17502e+16    4.87067e-01
    2.84815e-20         2.96974e+16    4.87407e-01
    2.86363e-20         2.73447e+16    4.87983e-01
    2.87137e-20         2.59537e+16    4.88425e-01
    2.87911e-20         2.44072e+16    4.88988e-01
    2.88685e-20         2.26559e+16    4.89706e-01
    2.89459e-20         2.06203e+16    4.90625e-01
    2.89846e-20         1.93903e+16    4.91214e-01
    2.90233e-20         1.79982e+16    4.91909e-01
    2.90620e-20         1.63811e+16    4.92748e-01
    2.90813e-20         1.54045e+16    4.93262e-01
    2.91007e-20         1.42998e+16    4.93841e-01
    2.91200e-20         1.30173e+16    4.94515e-01
    2.91297e-20         1.22432e+16    4.94921e-01
    2.91394e-20         1.13680e+16    4.95372e-01
    2.91491e-20         1.03527e+16    4.95882e-01
    2.91539e-20         9.74057e+15    4.96181e-01
    2.91587e-20         9.04896e+15    4.96512e-01
    2.91636e-20         8.24754e+15    4.96885e-01
    2.91660e-20         7.76515e+15    4.97099e-01
    2.91684e-20         7.22094e+15    4.97334e-01
    2.91708e-20         6.59159e+15    4.97597e-01
    2.91720e-20         6.21395e+15    4.97747e-01
    2.91733e-20         5.78901e+15    4.97911e-01
    2.91745e-20         5.29939e+15    4.98091e-01
    2.91751e-20         5.00725e+15    4.98194e-01
    2.91757e-20         4.68003e+15    4.98304e-01
    2.91763e-20         4.30545e+15    4.98426e-01
    2.91766e-20         4.08415e+15    4.98494e-01
    2.91769e-20         3.83822e+15    4.98568e-01
    2.91772e-20         3.55977e+15    4.98648e-01
    2.91775e-20         3.23604e+15    4.98737e-01
    2.91776e-20         3.04018e+15    4.98786e-01
    2.91778e-20         2.81827e+15    4.98841e-01
    2.91779e-20         2.56003e+15    4.98902e-01
    2.91780e-20         2.40355e+15    4.98936e-01
    2.91781e-20         2.22603e+15    4.98973e-01
    2.91782e-20         2.01907e+15    4.99014e-01
    2.91782e-20         1.89329e+15    4.99037e-01
    2.91782e-20         1.75024e+15    4.99062e-01
    2.91783e-20         1.58286e+15    4.99090e-01
    2.91783e-20         1.48053e+15    4.99106e-01
    2.91783e-20         1.36357e+15    4.99123e-01
    2.91783e-20         1.29462e+15    4.99133e-01
    2.91783e-20         1.21814e+15    4.99143e-01
    2.91783e-20         1.13175e+15    4.99154e-01
