              t                   M              a
    1.23833e-21         1.00000e+17    8.00000e-01
    2.47665e-21         1.00000e+17    8.00000e-01
    4.95331e-21         1.00000e+17    8.00000e-01
    9.90662e-21         1.00000e+17    8.00000e-01
    1.98132e-20         1.00000e+17    8.00000e-01
    3.96265e-20         1.00000e+17    8.00000e-01
    7.92530e-20         1.00000e+17    8.00000e-01
    1.58506e-19         1.00000e+17    8.00000e-01
    3.17012e-19         1.00000e+17    8.00000e-01
    6.34024e-19         1.00000e+17    8.00000e-01
    1.26805e-18         1.00000e+17    8.00000e-01
    2.53609e-18         1.00000e+17    8.00000e-01
    5.07219e-18         1.00000e+17    8.00000e-01
    1.01444e-17         1.00000e+17    8.00000e-01
    2.02888e-17         1.00000e+17    8.00000e-01
    4.05775e-17         1.00000e+17    8.00000e-01
    8.11550e-17         1.00000e+17    8.00000e-01
    1.62310e-16         1.00000e+17    8.00000e-01
    3.24620e-16         1.00000e+17    8.00000e-01
    6.49240e-16         1.00000e+17    8.00000e-01
    1.29848e-15         1.00000e+17    8.00000e-01
    2.59696e-15         1.00000e+17    8.00000e-01
    5.19392e-15         1.00000e+17    8.00000e-01
    1.03878e-14         1.00000e+17    8.00000e-01
    2.07757e-14         1.00000e+17    8.00000e-01
    4.15514e-14         1.00000e+17    8.00000e-01
    8.31027e-14         1.00000e+17    8.00000e-01
    1.66205e-13         1.00000e+17    8.00000e-01
    3.32411e-13         1.00000e+17    8.00000e-01
    6.64822e-13         1.00000e+17    8.00000e-01
    1.32964e-12         1.00000e+17    8.00000e-01
    2.65929e-12         1.00000e+17    8.00000e-01
    5.31858e-12         1.00000e+17    8.00000e-01
    1.06372e-11         1.00000e+17    8.00000e-01
    2.12743e-11         1.00000e+17    8.00000e-01
    4.25486e-11         1.00000e+17    8.00000e-01
    8.50972e-11         1.00000e+17    8.00000e-01
    1.70194e-10         1.00000e+17    8.00000e-01
    3.40389e-10         1.00000e+17    8.00000e-01
    6.80778e-10         1.00000e+17    8.00000e-01
    1.36156e-09         1.00000e+17    8.00000e-01
    2.72311e-09         1.00000e+17    8.00000e-01
    5.44622e-09         1.00000e+17    8.00000e-01
    1.08924e-08         1.00000e+17    8.00000e-01
    2.17849e-08         1.00000e+17    8.00000e-01
    4.35698e-08         1.00000e+17    8.00000e-01
    8.71395e-08         1.00000e+17    8.00000e-01
    1.74279e-07         1.00000e+17    8.00000e-01
    3.48558e-07         1.00000e+17    8.00000e-01
    6.97116e-07         1.00000e+17    8.00000e-01
    1.39423e-06         1.00000e+17    8.00000e-01
    2.78847e-06         1.00000e+17    8.00000e-01
    5.57693e-06         1.00000e+17    8.00000e-01
    1.11539e-05         1.00000e+17    8.00000e-01
    2.23077e-05         1.00000e+17    8.00000e-01
    4.46154e-05         1.00000e+17    8.00000e-01
    8.92309e-05         1.00000e+17    8.00000e-01
    1.78462e-04         1.00000e+17    8.00000e-01
    3.56924e-04         1.00000e+17    8.00000e-01
    7.13847e-04         1.00000e+17    8.00000e-01
    1.42769e-03         1.00000e+17    8.00000e-01
    2.85539e-03         1.00000e+17    8.00000e-01
    5.71078e-03         1.00000e+17    8.00000e-01
    1.14216e-02         1.00000e+17    8.00000e-01
    2.28431e-02         1.00000e+17    8.00000e-01
    4.56862e-02         1.00000e+17    8.00000e-01
    9.13724e-02         1.00000e+17    8.00000e-01
    1.82745e-01         1.00000e+17    8.00000e-01
    3.65490e-01         1.00000e+17    8.00000e-01
    7.30979e-01         1.00000e+17    8.00000e-01
    1.46196e+00         1.00000e+17    8.00000e-01
    2.92392e+00         1.00000e+17    8.00000e-01
    5.84784e+00         1.00000e+17    8.00000e-01
    1.16957e+01         1.00000e+17    8.00000e-01
    2.33913e+01         1.00000e+17    8.00000e-01
    4.67827e+01         1.00000e+17    8.00000e-01
    9.35654e+01         1.00000e+17    8.00000e-01
    1.87131e+02         1.00000e+17    8.00000e-01
    3.74261e+02         1.00000e+17    8.00000e-01
    7.48523e+02         1.00000e+17    8.00000e-01
    1.49705e+03         1.00000e+17    8.00000e-01
    2.99409e+03         1.00000e+17    8.00000e-01
    5.98818e+03         1.00000e+17    8.00000e-01
    1.19764e+04         1.00000e+17    8.00000e-01
    2.39527e+04         1.00000e+17    8.00000e-01
    4.79055e+04         1.00000e+17    8.00000e-01
    9.58109e+04         1.00000e+17    8.00000e-01
    1.91622e+05         1.00000e+17    8.00000e-01
    3.83244e+05         1.00000e+17    8.00000e-01
    7.66488e+05         1.00000e+17    8.00000e-01
    1.53298e+06         1.00000e+17    8.00000e-01
    3.06595e+06         1.00000e+17    8.00000e-01
    6.13190e+06         1.00000e+17    8.00000e-01
    1.22638e+07         1.00000e+17    8.00000e-01
    2.45276e+07         1.00000e+17    8.00000e-01
    4.90552e+07         1.00000e+17    8.00000e-01
    9.81104e+07         1.00000e+17    8.00000e-01
    1.96221e+08         1.00000e+17    8.00000e-01
    3.92442e+08         9.99999e+16    7.99999e-01
    7.84883e+08         9.99999e+16    7.99998e-01
    1.56977e+09         9.99997e+16    7.99997e-01
    3.13953e+09         9.99994e+16    7.99994e-01
    6.27907e+09         9.99989e+16    7.99987e-01
    1.25581e+10         9.99977e+16    7.99974e-01
    2.51163e+10         9.99954e+16    7.99949e-01
    5.02325e+10         9.99909e+16    7.99897e-01
    1.00465e+11         9.99818e+16    7.99795e-01
    2.00930e+11         9.99635e+16    7.99589e-01
    4.01860e+11         9.99271e+16    7.99179e-01
    8.03720e+11         9.98543e+16    7.98360e-01
    1.60744e+12         9.97089e+16    7.96729e-01
    3.21488e+12         9.94192e+16    7.93493e-01
    6.42976e+12         9.88441e+16    7.87128e-01
    1.28595e+13         9.77040e+16    7.74760e-01
    1.92893e+13         9.65740e+16    7.63029e-01
    2.57191e+13         9.54532e+16    7.51911e-01
    3.21488e+13         9.43374e+16    7.41346e-01
    3.85786e+13         9.32155e+16    7.31202e-01
    4.50083e+13         9.20863e+16    7.21466e-01
    5.14381e+13         9.09490e+16    7.12125e-01
    5.78679e+13         8.97979e+16    7.03119e-01
    6.42976e+13         8.86294e+16    6.94410e-01
    7.07274e+13         8.74421e+16    6.85993e-01
    7.71572e+13         8.62344e+16    6.77859e-01
    8.35869e+13         8.50016e+16    6.69977e-01
    9.00167e+13         8.37385e+16    6.62317e-01
    9.64465e+13         8.24427e+16    6.54874e-01
    1.02876e+14         8.11115e+16    6.47641e-01
    1.09306e+14         7.97420e+16    6.40614e-01
    1.15736e+14         7.83308e+16    6.33717e-01
    1.22166e+14         7.68742e+16    6.26914e-01
    1.28595e+14         7.53680e+16    6.20202e-01
    1.35025e+14         7.38071e+16    6.13579e-01
    1.41455e+14         7.21858e+16    6.07041e-01
    1.47885e+14         7.04956e+16    6.00589e-01
    1.54314e+14         6.87239e+16    5.94231e-01
    1.60744e+14         6.68602e+16    5.87961e-01
    1.67174e+14         6.48918e+16    5.81776e-01
    1.73604e+14         6.28027e+16    5.75672e-01
    1.80033e+14         6.05729e+16    5.69643e-01
    1.86463e+14         5.81782e+16    5.63600e-01
    1.92893e+14         5.55861e+16    5.57440e-01
    1.99323e+14         5.27511e+16    5.51135e-01
    2.05752e+14         4.96082e+16    5.44647e-01
    2.12182e+14         4.60603e+16    5.37922e-01
    2.18612e+14         4.19517e+16    5.30882e-01
    2.21827e+14         3.94758e+16    5.27127e-01
    2.25042e+14         3.66793e+16    5.23185e-01
    2.28257e+14         3.34397e+16    5.18998e-01
    2.29864e+14         3.14906e+16    5.16738e-01
    2.31471e+14         2.92926e+16    5.14353e-01
    2.33079e+14         2.67522e+16    5.11807e-01
    2.33883e+14         2.52292e+16    5.10426e-01
    2.34686e+14         2.35166e+16    5.08965e-01
    2.35490e+14         2.15455e+16    5.07403e-01
    2.35892e+14         2.03712e+16    5.06554e-01
    2.36294e+14         1.90577e+16    5.05657e-01
    2.36696e+14         1.75568e+16    5.04698e-01
    2.36897e+14         1.66726e+16    5.04179e-01
    2.37098e+14         1.56920e+16    5.03631e-01
    2.37298e+14         1.45851e+16    5.03049e-01
    2.37499e+14         1.33037e+16    5.02422e-01
    2.37600e+14         1.25337e+16    5.02079e-01
    2.37700e+14         1.16661e+16    5.01714e-01
    2.37801e+14         1.06646e+16    5.01322e-01
    2.37851e+14         1.00654e+16    5.01107e-01
    2.37901e+14         9.39274e+15    5.00879e-01
    2.37951e+14         8.62027e+15    5.00634e-01
    2.37977e+14         8.16171e+15    5.00500e-01
    2.38002e+14         7.65018e+15    5.00359e-01
    2.38027e+14         7.06794e+15    5.00207e-01
    2.38052e+14         6.38583e+15    5.00043e-01
    2.38065e+14         5.96802e+15    4.99952e-01
    2.38077e+14         5.48965e+15    4.99854e-01
    2.38083e+14         5.20697e+15    4.99800e-01
    2.38090e+14         4.89276e+15    4.99742e-01
    2.38096e+14         4.53689e+15    4.99679e-01
    2.38102e+14         4.12300e+15    4.99609e-01
    2.38105e+14         3.87242e+15    4.99571e-01
    2.38108e+14         3.58836e+15    4.99529e-01
    2.38112e+14         3.25754e+15    4.99482e-01
    2.38113e+14         3.05683e+15    4.99456e-01
    2.38115e+14         2.82890e+15    4.99428e-01
    2.38116e+14         2.56276e+15    4.99397e-01
    2.38117e+14         2.40061e+15    4.99379e-01
    2.38118e+14         2.21582e+15    4.99360e-01
    2.38119e+14         1.99893e+15    4.99339e-01
    2.38119e+14         1.86567e+15    4.99327e-01
    2.38119e+14         1.71269e+15    4.99314e-01
    2.38120e+14         1.62193e+15    4.99307e-01
    2.38120e+14         1.52072e+15    4.99299e-01
    2.38120e+14         1.40559e+15    4.99291e-01
    2.38120e+14         1.27084e+15    4.99282e-01
    2.38120e+14         1.18842e+15    4.99277e-01
    2.38120e+14         1.09416e+15    4.99271e-01
    2.38120e+14         1.03856e+15    4.99268e-01
    2.38121e+14         9.76857e+14    4.99264e-01
    2.38121e+14         9.07107e+14    4.99261e-01
    2.38121e+14         8.26217e+14    4.99257e-01
    2.38121e+14         7.77466e+14    4.99254e-01
    2.38121e+14         7.22408e+14    4.99252e-01
    2.38121e+14         6.58639e+14    4.99249e-01
    2.38121e+14         6.20281e+14    4.99248e-01
    2.38121e+14         5.77032e+14    4.99246e-01
    2.38121e+14         5.27058e+14    4.99245e-01
    2.38121e+14         4.97107e+14    4.99244e-01
    2.38121e+14         4.63439e+14    4.99242e-01
    2.38121e+14         4.24702e+14    4.99241e-01
    2.38121e+14         4.01638e+14    4.99241e-01
    2.38121e+14         3.75850e+14    4.99240e-01
    2.38121e+14         3.46402e+14    4.99239e-01
    2.38121e+14         3.29068e+14    4.99239e-01
    2.38121e+14         3.09860e+14    4.99238e-01
    2.38121e+14         2.88196e+14    4.99238e-01
    2.38121e+14         2.63154e+14    4.99237e-01
    2.38121e+14         2.48136e+14    4.99237e-01
    2.38121e+14         2.31245e+14    4.99237e-01
    2.38121e+14         2.11796e+14    4.99236e-01
    2.38121e+14         2.00204e+14    4.99236e-01
    2.38121e+14         1.87231e+14    4.99236e-01
    2.38121e+14         1.72398e+14    4.99236e-01
    2.38121e+14         1.63650e+14    4.99236e-01
    2.38121e+14         1.53941e+14    4.99236e-01
    2.38121e+14         1.42970e+14    4.99235e-01
    2.38121e+14         1.30250e+14    4.99235e-01
    2.38121e+14         1.22588e+14    4.99235e-01
    2.38121e+14         1.13937e+14    4.99235e-01
    2.38121e+14         1.03923e+14    4.99235e-01
    2.38121e+14         9.79046e+13    4.99235e-01
    2.38121e+14         9.11235e+13    4.99235e-01
    2.38121e+14         8.32955e+13    4.99235e-01
    2.38121e+14         7.86113e+13    4.99235e-01
    2.38121e+14         7.33522e+13    4.99235e-01
    2.38121e+14         6.73120e+13    4.99235e-01
    2.38121e+14         6.37256e+13    4.99235e-01
    2.38121e+14         5.97241e+13    4.99235e-01
    2.38121e+14         5.51684e+13    4.99235e-01
    2.38121e+14         4.98293e+13    4.99235e-01
    2.38121e+14         4.65571e+13    4.99235e-01
    2.38121e+14         4.28086e+13    4.99234e-01
    2.38121e+14         4.05918e+13    4.99234e-01
    2.38121e+14         3.81263e+13    4.99234e-01
    2.38121e+14         3.53316e+13    4.99234e-01
    2.38121e+14         3.20772e+13    4.99234e-01
    2.38121e+14         3.01031e+13    4.99234e-01
    2.38121e+14         2.78617e+13    4.99234e-01
    2.38121e+14         2.52450e+13    4.99234e-01
    2.38121e+14         2.36514e+13    4.99234e-01
    2.38121e+14         2.18358e+13    4.99234e-01
    2.38121e+14         1.97058e+13    4.99234e-01
    2.38121e+14         1.83981e+13    4.99234e-01
    2.38121e+14         1.68979e+13    4.99234e-01
    2.38121e+14         1.60086e+13    4.99234e-01
    2.38121e+14         1.50179e+13    4.99234e-01
    2.38121e+14         1.38921e+13    4.99234e-01
    2.38121e+14         1.25765e+13    4.99234e-01
    2.38121e+14         1.17739e+13    4.99234e-01
    2.38121e+14         1.08581e+13    4.99234e-01
    2.38121e+14         9.78128e+12    4.99234e-01
    2.38121e+14         9.11782e+12    4.99234e-01
    2.38121e+14         8.35428e+12    4.99234e-01
    2.38121e+14         7.89955e+12    4.99234e-01
    2.38121e+14         7.39095e+12    4.99234e-01
    2.38121e+14         6.80995e+12    4.99234e-01
    2.38121e+14         6.46776e+12    4.99234e-01
    2.38121e+14         6.08841e+12    4.99234e-01
