time                   Mass                   Q                   dMdt                dQdt                    fM                      hM                      delta_t               
2.0357702180110363e-21 1e+17                  0.2                 -1701805.5188271403 0.0                     3.0207784500610296e+111 0.0                     1.0558576345160702e-21
4.093338045558054e-21  1e+17                  0.2                 -1701805.5188271403 0.0                     3.0207784500610296e+111 0.0                     2.057567827547018e-21 
8.503917416503853e-21  1e+17                  0.2                 -1701805.5188271403 0.0                     3.0207784500610296e+111 0.0                     4.4105793709457994e-21
1.7098888857573177e-20 1e+17                  0.2                 -1701805.5188271403 0.0                     3.0207784500610296e+111 0.0                     8.594971441069326e-21 
3.552297346091897e-20  1e+17                  0.2                 -1701805.5188271403 0.0                     3.0207784500610296e+111 0.0                     1.8424084603345794e-20
7.142630217930567e-20  1e+17                  0.2                 -1701805.5188271403 0.0                     3.0207784500610296e+111 0.0                     3.5903328718386696e-20
1.4838827586179109e-19 1e+17                  0.2                 -1701805.5188271403 0.0                     3.0207784500610296e+111 0.0                     7.696197368248543e-20 
2.9836539002660053e-19 1e+17                  0.2                 -1701805.5188271403 0.0                     3.0207784500610296e+111 0.0                     1.4997711416480942e-19
6.198546537063788e-19  1e+17                  0.2                 -1701805.5188271403 0.0                     3.0207784500610296e+111 0.0                     3.214892636797782e-19 
1.2463462793055717e-18 1e+17                  0.2                 -1701805.5188271403 0.0                     3.0207784500610296e+111 0.0                     6.26491625599193e-19  
2.589286717498712e-18  1e+17                  0.2                 -1701805.5188271403 0.0                     3.0207784500610296e+111 0.0                     1.3429404381931403e-18
5.2062977136871784e-18 1e+17                  0.2                 -1701805.5188271403 0.0                     3.0207784500610296e+111 0.0                     2.617010996188467e-18 
1.0816093200763733e-17 1e+17                  0.2                 -1701805.5188271403 0.0                     3.0207784500610296e+111 0.0                     5.609795487076554e-18 
2.174799759393265e-17  1e+17                  0.2                 -1701805.5188271403 0.0                     3.0207784500610296e+111 0.0                     1.0931904393168915e-17
4.518150552311939e-17  1e+17                  0.2                 -1701805.5188271403 0.0                     3.0207784500610296e+111 0.0                     2.3433507929186742e-17
9.084678313771121e-17  1e+17                  0.2                 -1701805.5188271403 0.0                     3.0207784500610296e+111 0.0                     4.566527761459182e-17 
1.887343612378938e-16  1e+17                  0.2                 -1701805.5188271403 0.0                     3.0207784500610296e+111 0.0                     9.788757810018259e-17 
3.794895585593052e-16  1e+17                  0.2                 -1701805.5188271403 0.0                     3.0207784500610296e+111 0.0                     1.907551973214114e-16 
7.883902649868248e-16  1e+17                  0.2                 -1701805.5188271403 0.0                     3.0207784500610296e+111 0.0                     4.0890070642751956e-16
1.5852220638042127e-15 1e+17                  0.2                 -1701805.5188271403 0.0                     3.0207784500610296e+111 0.0                     7.968317988173879e-16 
3.293301791201338e-15  1e+17                  0.2                 -1701805.5188271403 0.0                     3.0207784500610296e+111 0.0                     1.708079727397125e-15 
6.621865964143455e-15  1e+17                  0.2                 -1701805.5188271403 0.0                     3.0207784500610296e+111 0.0                     3.3285641729421173e-15
1.3756938878629088e-14 1e+17                  0.2                 -1701805.5188271403 0.0                     3.0207784500610296e+111 0.0                     7.135072914485632e-15 
2.7661177476834088e-14 1e+17                  0.2                 -1701805.5188271403 0.0                     3.0207784500610296e+111 0.0                     1.3904238598204999e-14
5.746614774751643e-14  1e+17                  0.2                 -1701805.5188271403 0.0                     3.0207784500610296e+111 0.0                     2.980497027068234e-14 
1.1554760297898677e-13 1e+17                  0.2                 -1701805.5188271403 0.0                     3.0207784500610296e+111 0.0                     5.808145523147034e-14 
