time                   Mass                   Q                     dMdt                    dQdt                    fM                     hM                     delta_t               
3.5184372088832e-17    1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    1.7592186044416e-17   
7.0368744177664e-17    1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    3.5184372088832e-17   
1.40737488355328e-16   1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    7.0368744177664e-17   
2.81474976710656e-16   1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    1.40737488355328e-16  
5.62949953421312e-16   1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    2.81474976710656e-16  
1.125899906842624e-15  1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    5.62949953421312e-16  
2.251799813685248e-15  1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    1.125899906842624e-15 
4.503599627370496e-15  1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    2.251799813685248e-15 
9.007199254740993e-15  1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    4.503599627370496e-15 
1.8014398509481986e-14 1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    9.007199254740993e-15 
3.602879701896397e-14  1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    1.8014398509481986e-14
7.205759403792794e-14  1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    3.602879701896397e-14 
1.4411518807585588e-13 1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    7.205759403792794e-14 
2.8823037615171177e-13 1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    1.4411518807585588e-13
5.764607523034235e-13  1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    2.8823037615171177e-13
1.152921504606847e-12  1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    5.764607523034235e-13 
2.305843009213694e-12  1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    1.152921504606847e-12 
4.611686018427388e-12  1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    2.305843009213694e-12 
9.223372036854777e-12  1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    4.611686018427388e-12 
1.8446744073709553e-11 1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    9.223372036854777e-12 
3.6893488147419106e-11 1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    1.8446744073709553e-11
7.378697629483821e-11  1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    3.6893488147419106e-11
1.4757395258967643e-10 1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    7.378697629483821e-11 
2.9514790517935285e-10 1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    1.4757395258967643e-10
5.902958103587057e-10  1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    2.9514790517935285e-10
1.1805916207174114e-09 1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    5.902958103587057e-10 
2.361183241434823e-09  1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    1.1805916207174114e-09
4.722366482869646e-09  1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    2.361183241434823e-09 
9.444732965739291e-09  1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    4.722366482869646e-09 
1.8889465931478582e-08 1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    9.444732965739291e-09 
3.7778931862957165e-08 1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    1.8889465931478582e-08
7.555786372591433e-08  1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    3.7778931862957165e-08
1.5111572745182866e-07 1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    7.555786372591433e-08 
3.022314549036573e-07  1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    1.5111572745182866e-07
6.044629098073146e-07  1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    3.022314549036573e-07 
1.2089258196146293e-06 1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    6.044629098073146e-07 
2.4178516392292586e-06 1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    1.2089258196146293e-06
4.835703278458517e-06  1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    2.4178516392292586e-06
9.671406556917034e-06  1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    4.835703278458517e-06 
1.934281311383407e-05  1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    9.671406556917034e-06 
3.868562622766814e-05  1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    1.934281311383407e-05 
7.737125245533627e-05  1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    3.868562622766814e-05 
0.00015474250491067255 1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    7.737125245533627e-05 
