              t                   M              a
    1.23833e-21         1.00000e+17    8.00000e-01
    1.23833e-21         9.67198e+16    7.53954e-01
    1.23833e-21         9.37687e+16    7.15510e-01
    1.23833e-21         9.09125e+16    6.81725e-01
    1.23833e-21         8.80319e+16    6.51865e-01
    1.23833e-21         8.50158e+16    6.25326e-01
    1.23833e-21         8.18241e+16    6.01102e-01
    1.23833e-21         7.83791e+16    5.79078e-01
    1.23833e-21         7.45777e+16    5.59260e-01
    1.23833e-21         7.03499e+16    5.40768e-01
    1.23833e-21         6.55216e+16    5.23920e-01
    1.23833e-21         5.98662e+16    5.08327e-01
    1.23833e-21         5.63839e+16    5.01770e-01
    1.23833e-21         5.24000e+16    4.95913e-01
    1.23833e-21         4.77313e+16    4.90617e-01
    1.23833e-21         4.48655e+16    4.88689e-01
    1.23833e-21         4.16002e+16    4.87056e-01
    1.23833e-21         3.77709e+16    4.85950e-01
    1.23833e-21         3.54298e+16    4.85772e-01
    1.23833e-21         3.27567e+16    4.85906e-01
    1.23833e-21         2.96143e+16    4.86482e-01
    1.23833e-21         2.76841e+16    4.87062e-01
    1.23833e-21         2.54710e+16    4.87848e-01
    1.23833e-21         2.41606e+16    4.88408e-01
    1.23833e-21         2.27020e+16    4.89097e-01
    1.23833e-21         2.10484e+16    4.89913e-01
    1.23833e-21         1.91230e+16    4.90896e-01
    1.23833e-21         1.79554e+16    4.91529e-01
    1.23833e-21         1.66300e+16    4.92267e-01
    1.23833e-21         1.50842e+16    4.93131e-01
    1.23833e-21         1.41444e+16    4.93656e-01
    1.23833e-21         1.30751e+16    4.94251e-01
    1.23833e-21         1.18234e+16    4.94945e-01
    1.23833e-21         1.10579e+16    4.95354e-01
    1.23833e-21         1.01826e+16    4.95814e-01
    1.23833e-21         9.66646e+15    4.96079e-01
    1.23833e-21         9.09365e+15    4.96366e-01
    1.23833e-21         8.44637e+15    4.96682e-01
    1.23833e-21         7.69604e+15    4.97036e-01
    1.23833e-21         7.24414e+15    4.97239e-01
    1.23833e-21         6.73408e+15    4.97463e-01
    1.23833e-21         6.14382e+15    4.97712e-01
    1.23833e-21         5.78925e+15    4.97853e-01
    1.23833e-21         5.38992e+15    4.98007e-01
    1.23833e-21         4.92922e+15    4.98177e-01
    1.23833e-21         4.65379e+15    4.98274e-01
    1.23833e-21         4.34481e+15    4.98378e-01
    1.23833e-21         3.99031e+15    4.98493e-01
    1.23833e-21         3.78016e+15    4.98558e-01
    1.23833e-21         3.54601e+15    4.98627e-01
    1.23833e-21         3.27991e+15    4.98703e-01
    1.23833e-21         2.96888e+15    4.98787e-01
    1.23833e-21         2.77907e+15    4.98834e-01
    1.23833e-21         2.56245e+15    4.98887e-01
    1.23833e-21         2.30767e+15    4.98945e-01
    1.23833e-21         2.15059e+15    4.98978e-01
    1.23833e-21         1.96973e+15    4.99014e-01
    1.23833e-21         1.86193e+15    4.99035e-01
    1.23833e-21         1.74129e+15    4.99057e-01
    1.23833e-21         1.60335e+15    4.99081e-01
    1.23833e-21         1.52200e+15    4.99094e-01
    1.23833e-21         1.43173e+15    4.99108e-01
    1.23833e-21         1.32971e+15    4.99123e-01
    1.23833e-21         1.21144e+15    4.99140e-01
    1.23833e-21         1.14019e+15    4.99150e-01
    1.23833e-21         1.05976e+15    4.99160e-01
    1.23833e-21         9.66663e+14    4.99171e-01
    1.23833e-21         9.10715e+14    4.99177e-01
    1.23833e-21         8.47682e+14    4.99184e-01
    1.23833e-21         7.74926e+14    4.99191e-01
    1.23833e-21         7.31397e+14    4.99195e-01
    1.23833e-21         6.82533e+14    4.99200e-01
    1.23833e-21         6.26421e+14    4.99205e-01
    1.23833e-21         5.93113e+14    4.99207e-01
    1.23833e-21         5.55960e+14    4.99210e-01
    1.23833e-21         5.13675e+14    4.99213e-01
    1.23833e-21         4.64142e+14    4.99217e-01
    1.23833e-21         4.33808e+14    4.99219e-01
    1.23833e-21         3.99082e+14    4.99221e-01
    1.23833e-21         3.78567e+14    4.99222e-01
