              t                   M              a
    1.23833e-21         1.00000e+17    8.00000e-01
    2.47665e-21         1.00000e+17    8.00000e-01
    4.95331e-21         1.00000e+17    8.00000e-01
    9.90662e-21         1.00000e+17    8.00000e-01
    1.98132e-20         1.00000e+17    8.00000e-01
    3.96265e-20         1.00000e+17    8.00000e-01
    7.92530e-20         1.00000e+17    8.00000e-01
    1.58506e-19         1.00000e+17    8.00000e-01
    3.17012e-19         1.00000e+17    8.00000e-01
    6.34024e-19         1.00000e+17    8.00000e-01
    1.26805e-18         1.00000e+17    8.00000e-01
    2.53609e-18         1.00000e+17    8.00000e-01
    5.07219e-18         1.00000e+17    8.00000e-01
    1.01444e-17         1.00000e+17    8.00000e-01
    2.02888e-17         1.00000e+17    8.00000e-01
    4.05775e-17         1.00000e+17    8.00000e-01
    8.11550e-17         1.00000e+17    8.00000e-01
    1.62310e-16         1.00000e+17    8.00000e-01
    3.24620e-16         1.00000e+17    8.00000e-01
    6.49240e-16         1.00000e+17    8.00000e-01
    1.29848e-15         1.00000e+17    8.00000e-01
    2.59696e-15         1.00000e+17    8.00000e-01
    5.19392e-15         1.00000e+17    8.00000e-01
    1.03878e-14         1.00000e+17    8.00000e-01
    2.07757e-14         1.00000e+17    8.00000e-01
    4.15514e-14         1.00000e+17    8.00000e-01
    8.31027e-14         1.00000e+17    8.00000e-01
    1.66205e-13         1.00000e+17    8.00000e-01
    3.32411e-13         1.00000e+17    8.00000e-01
    6.64822e-13         1.00000e+17    8.00000e-01
    1.32964e-12         1.00000e+17    8.00000e-01
    2.65929e-12         1.00000e+17    8.00000e-01
    5.31858e-12         1.00000e+17    8.00000e-01
    1.06372e-11         1.00000e+17    8.00000e-01
    2.12743e-11         1.00000e+17    8.00000e-01
    4.25486e-11         1.00000e+17    8.00000e-01
    8.50972e-11         1.00000e+17    8.00000e-01
    1.70194e-10         1.00000e+17    8.00000e-01
    3.40389e-10         1.00000e+17    8.00000e-01
    6.80778e-10         1.00000e+17    8.00000e-01
    1.36156e-09         1.00000e+17    8.00000e-01
    2.72311e-09         1.00000e+17    8.00000e-01
    5.44622e-09         1.00000e+17    8.00000e-01
    1.08924e-08         1.00000e+17    8.00000e-01
    2.17849e-08         1.00000e+17    8.00000e-01
    4.35698e-08         1.00000e+17    8.00000e-01
    8.71395e-08         1.00000e+17    8.00000e-01
    1.74279e-07         1.00000e+17    8.00000e-01
    3.48558e-07         1.00000e+17    8.00000e-01
    6.97116e-07         1.00000e+17    8.00000e-01
    1.39423e-06         1.00000e+17    8.00000e-01
    2.78847e-06         1.00000e+17    8.00000e-01
    5.57693e-06         1.00000e+17    8.00000e-01
    1.11539e-05         1.00000e+17    8.00000e-01
    2.23077e-05         1.00000e+17    8.00000e-01
    4.46154e-05         1.00000e+17    8.00000e-01
    8.92309e-05         1.00000e+17    8.00000e-01
    1.78462e-04         1.00000e+17    8.00000e-01
    3.56924e-04         1.00000e+17    8.00000e-01
    7.13847e-04         1.00000e+17    8.00000e-01
    1.42769e-03         1.00000e+17    8.00000e-01
    2.85539e-03         1.00000e+17    8.00000e-01
    5.71078e-03         1.00000e+17    8.00000e-01
    1.14216e-02         1.00000e+17    8.00000e-01
    2.28431e-02         1.00000e+17    8.00000e-01
    4.56862e-02         1.00000e+17    8.00000e-01
    9.13724e-02         1.00000e+17    8.00000e-01
    1.82745e-01         1.00000e+17    8.00000e-01
    3.65490e-01         9.99999e+16    7.99999e-01
    7.30979e-01         9.99999e+16    7.99998e-01
    1.46196e+00         9.99998e+16    7.99997e-01
    2.92392e+00         9.99995e+16    7.99993e-01
    5.84784e+00         9.99991e+16    7.99987e-01
    1.16957e+01         9.99981e+16    7.99973e-01
    2.33913e+01         9.99962e+16    7.99947e-01
    4.67827e+01         9.99924e+16    7.99893e-01
    9.35654e+01         9.99848e+16    7.99787e-01
    1.87131e+02         9.99696e+16    7.99574e-01
    3.74261e+02         9.99393e+16    7.99148e-01
    7.48523e+02         9.98787e+16    7.98298e-01
    1.49705e+03         9.97579e+16    7.96604e-01
    2.99409e+03         9.95176e+16    7.93241e-01
    5.98818e+03         9.90429e+16    7.86614e-01
    1.19764e+04         9.81103e+16    7.73666e-01
    1.79646e+04         9.71996e+16    7.61324e-01
    2.39527e+04         9.63103e+16    7.49566e-01
    2.99409e+04         9.54369e+16    7.38304e-01
    3.59291e+04         9.45763e+16    7.27381e-01
    4.19173e+04         9.37202e+16    7.16901e-01
    4.79055e+04         9.28703e+16    7.06794e-01
    5.38937e+04         9.20177e+16    6.97031e-01
    5.98818e+04         9.11620e+16    6.87601e-01
    6.58700e+04         9.03025e+16    6.78495e-01
    7.18582e+04         8.94373e+16    6.69675e-01
    7.78464e+04         8.85599e+16    6.61137e-01
    8.38346e+04         8.76695e+16    6.52872e-01
    8.98228e+04         8.67658e+16    6.44863e-01
    9.58109e+04         8.58488e+16    6.37082e-01
    1.01799e+05         8.49145e+16    6.29492e-01
    1.07787e+05         8.39614e+16    6.22091e-01
    1.13775e+05         8.29885e+16    6.14875e-01
    1.19764e+05         8.19941e+16    6.07841e-01
    1.25752e+05         8.09762e+16    6.00983e-01
    1.31740e+05         7.99279e+16    5.94326e-01
    1.37728e+05         7.88438e+16    5.87905e-01
    1.43716e+05         7.77277e+16    5.81635e-01
    1.49705e+05         7.65771e+16    5.75515e-01
    1.55693e+05         7.53892e+16    5.69544e-01
    1.61681e+05         7.41636e+16    5.63651e-01
    1.67669e+05         7.28906e+16    5.57898e-01
    1.73657e+05         7.15674e+16    5.52261e-01
    1.79646e+05         7.01876e+16    5.46764e-01
    1.85634e+05         6.87451e+16    5.41412e-01
    1.91622e+05         6.72324e+16    5.36212e-01
    1.97610e+05         6.56544e+16    5.30972e-01
    2.03598e+05         6.39858e+16    5.25902e-01
    2.09586e+05         6.22136e+16    5.21016e-01
    2.15575e+05         6.03223e+16    5.16321e-01
    2.21563e+05         5.82931e+16    5.11827e-01
    2.27551e+05         5.61001e+16    5.07566e-01
    2.33539e+05         5.37108e+16    5.03555e-01
    2.39527e+05         5.10866e+16    4.99721e-01
    2.45516e+05         4.81621e+16    4.96163e-01
    2.51504e+05         4.48285e+16    4.93194e-01
    2.57492e+05         4.09506e+16    4.90586e-01
    2.60486e+05         3.86040e+16    4.89648e-01
    2.63480e+05         3.59527e+16    4.88892e-01
    2.66474e+05         3.28787e+16    4.88509e-01
    2.67971e+05         3.10302e+16    4.88596e-01
    2.69468e+05         2.89503e+16    4.88830e-01
    2.70965e+05         2.65536e+16    4.89321e-01
    2.71714e+05         2.51257e+16    4.89717e-01
    2.72462e+05         2.35287e+16    4.90232e-01
    2.73211e+05         2.17046e+16    4.90915e-01
    2.73959e+05         1.95590e+16    4.91766e-01
    2.74334e+05         1.82359e+16    4.92351e-01
    2.74708e+05         1.67127e+16    4.93063e-01
    2.74895e+05         1.58055e+16    4.93494e-01
    2.75082e+05         1.47906e+16    4.93984e-01
    2.75269e+05         1.36315e+16    4.94541e-01
    2.75363e+05         1.29489e+16    4.94869e-01
    2.75456e+05         1.21924e+16    4.95234e-01
    2.75550e+05         1.13389e+16    4.95636e-01
    2.75644e+05         1.03520e+16    4.96095e-01
    2.75690e+05         9.75983e+15    4.96364e-01
    2.75737e+05         9.09360e+15    4.96661e-01
    2.75784e+05         8.32613e+15    4.96994e-01
    2.75807e+05         7.86836e+15    4.97185e-01
    2.75831e+05         7.35576e+15    4.97393e-01
    2.75854e+05         6.76921e+15    4.97624e-01
    2.75866e+05         6.42290e+15    4.97755e-01
    2.75878e+05         6.03824e+15    4.97897e-01
    2.75889e+05         5.60299e+15    4.98051e-01
    2.75901e+05         5.09750e+15    4.98224e-01
    2.75907e+05         4.79214e+15    4.98322e-01
    2.75913e+05         4.44662e+15    4.98429e-01
    2.75918e+05         4.04532e+15    4.98548e-01
    2.75921e+05         3.80289e+15    4.98615e-01
    2.75924e+05         3.52855e+15    4.98689e-01
    2.75927e+05         3.20991e+15    4.98771e-01
    2.75929e+05         3.01738e+15    4.98817e-01
    2.75930e+05         2.79951e+15    4.98867e-01
    2.75932e+05         2.54640e+15    4.98923e-01
    2.75932e+05         2.39344e+15    4.98954e-01
    2.75933e+05         2.22030e+15    4.98988e-01
    2.75934e+05         2.01910e+15    4.99026e-01
    2.75934e+05         1.89746e+15    4.99047e-01
    2.75935e+05         1.75972e+15    4.99070e-01
    2.75935e+05         1.59957e+15    4.99095e-01
    2.75935e+05         1.50266e+15    4.99110e-01
    2.75935e+05         1.39285e+15    4.99125e-01
    2.75935e+05         1.26504e+15    4.99142e-01
    2.75936e+05         1.18757e+15    4.99152e-01
    2.75936e+05         1.09966e+15    4.99162e-01
    2.75936e+05         9.97138e+14    4.99174e-01
    2.75936e+05         9.34793e+14    4.99180e-01
    2.75936e+05         8.63855e+14    4.99187e-01
    2.75936e+05         7.80787e+14    4.99195e-01
    2.75936e+05         7.29946e+14    4.99199e-01
    2.75936e+05         6.71776e+14    4.99204e-01
    2.75936e+05         6.37436e+14    4.99207e-01
    2.75936e+05         5.99296e+14    4.99210e-01
    2.75936e+05         5.56148e+14    4.99213e-01
    2.75936e+05         5.06044e+14    4.99216e-01
    2.75936e+05         4.75786e+14    4.99218e-01
    2.75936e+05         4.41557e+14    4.99220e-01
    2.75936e+05         4.01815e+14    4.99222e-01
    2.75936e+05         3.77819e+14    4.99223e-01
    2.75936e+05         3.50678e+14    4.99225e-01
    2.75936e+05         3.19174e+14    4.99226e-01
    2.75936e+05         3.00158e+14    4.99227e-01
    2.75936e+05         2.78657e+14    4.99228e-01
    2.75936e+05         2.53710e+14    4.99229e-01
    2.75936e+05         2.38663e+14    4.99229e-01
    2.75936e+05         2.21659e+14    4.99230e-01
    2.75936e+05         2.01945e+14    4.99231e-01
    2.75936e+05         1.90070e+14    4.99231e-01
    2.75936e+05         1.76665e+14    4.99231e-01
    2.75936e+05         1.61148e+14    4.99232e-01
    2.75936e+05         1.51824e+14    4.99232e-01
    2.75936e+05         1.41319e+14    4.99232e-01
    2.75936e+05         1.29195e+14    4.99233e-01
    2.75936e+05         1.21941e+14    4.99233e-01
    2.75936e+05         1.13799e+14    4.99233e-01
    2.75936e+05         1.04450e+14    4.99233e-01
    2.75936e+05         9.89014e+13    4.99233e-01
    2.75936e+05         9.27126e+13    4.99233e-01
    2.75936e+05         8.56700e+13    4.99234e-01
    2.75936e+05         7.74219e+13    4.99234e-01
    2.75936e+05         7.23724e+13    4.99234e-01
    2.75936e+05         6.65937e+13    4.99234e-01
    2.75936e+05         6.31811e+13    4.99234e-01
    2.75936e+05         5.93899e+13    4.99234e-01
    2.75936e+05         5.50992e+13    4.99234e-01
    2.75936e+05         5.01143e+13    4.99234e-01
    2.75936e+05         4.71013e+13    4.99234e-01
    2.75936e+05         4.36905e+13    4.99234e-01
    2.75936e+05         3.97264e+13    4.99234e-01
    2.75936e+05         3.73291e+13    4.99234e-01
    2.75936e+05         3.46139e+13    4.99234e-01
    2.75936e+05         3.14561e+13    4.99234e-01
    2.75936e+05         2.95443e+13    4.99234e-01
    2.75936e+05         2.73770e+13    4.99234e-01
    2.75936e+05         2.48530e+13    4.99234e-01
    2.75936e+05         2.33217e+13    4.99234e-01
    2.75936e+05         2.15827e+13    4.99234e-01
    2.75936e+05         1.95521e+13    4.99234e-01
    2.75936e+05         1.83150e+13    4.99234e-01
    2.75936e+05         1.69051e+13    4.99234e-01
    2.75936e+05         1.52502e+13    4.99234e-01
    2.75936e+05         1.42334e+13    4.99234e-01
    2.75936e+05         1.30662e+13    4.99234e-01
    2.75936e+05         1.23737e+13    4.99234e-01
    2.75936e+05         1.16015e+13    4.99234e-01
    2.75936e+05         1.07230e+13    4.99234e-01
    2.75936e+05         9.69474e+12    4.99234e-01
    2.75936e+05         9.06577e+12    4.99234e-01
    2.75936e+05         8.34648e+12    4.99234e-01
    2.75936e+05         7.92218e+12    4.99234e-01
    2.75936e+05         7.45122e+12    4.99234e-01
    2.75936e+05         6.91883e+12    4.99234e-01
    2.75936e+05         6.30136e+12    4.99234e-01
    2.75936e+05         5.92916e+12    4.99234e-01
    2.75936e+05         5.50876e+12    4.99234e-01
    2.75936e+05         5.02175e+12    4.99234e-01
    2.75936e+05         4.72872e+12    4.99234e-01
    2.75936e+05         4.39825e+12    4.99234e-01
    2.75936e+05         4.01625e+12    4.99234e-01
    2.75936e+05         3.78719e+12    4.99234e-01
    2.75936e+05         3.52959e+12    4.99234e-01
    2.75936e+05         3.23301e+12    4.99234e-01
    2.75936e+05         3.05626e+12    4.99234e-01
    2.75936e+05         2.85848e+12    4.99234e-01
    2.75936e+05         2.63239e+12    4.99234e-01
    2.75936e+05         2.49909e+12    4.99234e-01
    2.75936e+05         2.35119e+12    4.99234e-01
    2.75936e+05         2.18410e+12    4.99234e-01
    2.75936e+05         1.99047e+12    4.99234e-01
    2.75936e+05         1.87390e+12    4.99234e-01
    2.75936e+05         1.74237e+12    4.99234e-01
    2.75936e+05         1.59024e+12    4.99234e-01
    2.75936e+05         1.49892e+12    4.99234e-01
    2.75936e+05         1.39614e+12    4.99234e-01
    2.75936e+05         1.27767e+12    4.99234e-01
    2.75936e+05         1.20695e+12    4.99234e-01
    2.75936e+05         1.12768e+12    4.99234e-01
