              t                   M              a
    1.23833e-21         1.00000e+17    8.00000e-01
    1.23833e-21         9.58079e+16    7.52756e-01
    1.23833e-21         9.18250e+16    7.15015e-01
    1.23833e-21         8.77563e+16    6.82879e-01
    1.23833e-21         8.34665e+16    6.54798e-01
    1.23833e-21         7.88029e+16    6.29789e-01
    1.23833e-21         7.36467e+16    6.06733e-01
    1.23833e-21         6.78155e+16    5.85003e-01
    1.23833e-21         6.43804e+16    5.74860e-01
    1.23833e-21         6.05708e+16    5.64966e-01
    1.23833e-21         5.62757e+16    5.54930e-01
    1.23833e-21         5.13125e+16    5.44547e-01
    1.23833e-21         4.83354e+16    5.39104e-01
    1.23833e-21         4.49849e+16    5.33451e-01
    1.23833e-21         4.11190e+16    5.27509e-01
    1.23833e-21         3.88051e+16    5.24332e-01
    1.23833e-21         3.62067e+16    5.20998e-01
    1.23833e-21         3.32217e+16    5.17463e-01
    1.23833e-21         3.14487e+16    5.15561e-01
    1.23833e-21         2.94701e+16    5.13561e-01
    1.23833e-21         2.72167e+16    5.11438e-01
    1.23833e-21         2.45746e+16    5.09154e-01
    1.23833e-21         2.29540e+16    5.07900e-01
    1.23833e-21         2.10965e+16    5.06561e-01
    1.23833e-21         1.99970e+16    5.05835e-01
    1.23833e-21         1.87732e+16    5.05069e-01
    1.23833e-21         1.73845e+16    5.04253e-01
    1.23833e-21         1.57652e+16    5.03373e-01
    1.23833e-21         1.47806e+16    5.02888e-01
    1.23833e-21         1.36605e+16    5.02371e-01
    1.23833e-21         1.23491e+16    5.01811e-01
    1.23833e-21         1.15467e+16    5.01502e-01
    1.23833e-21         1.06289e+16    5.01171e-01
    1.23833e-21         1.00874e+16    5.00991e-01
    1.23833e-21         9.48609e+15    5.00801e-01
    1.23833e-21         8.80618e+15    5.00598e-01
    1.23833e-21         8.01722e+15    5.00379e-01
    1.23833e-21         7.54127e+15    5.00259e-01
    1.23833e-21         7.00336e+15    5.00130e-01
    1.23833e-21         6.37963e+15    4.99992e-01
    1.23833e-21         6.00380e+15    4.99916e-01
    1.23833e-21         5.57945e+15    4.99834e-01
    1.23833e-21         5.08808e+15    4.99743e-01
    1.23833e-21         4.79266e+15    4.99693e-01
    1.23833e-21         4.45968e+15    4.99639e-01
    1.23833e-21         4.07513e+15    4.99579e-01
    1.23833e-21         3.84485e+15    4.99546e-01
    1.23833e-21         3.58616e+15    4.99510e-01
    1.23833e-21         3.28880e+15    4.99471e-01
    1.23833e-21         3.11202e+15    4.99450e-01
    1.23833e-21         2.91459e+15    4.99426e-01
    1.23833e-21         2.68949e+15    4.99401e-01
    1.23833e-21         2.42515e+15    4.99373e-01
    1.23833e-21         2.26259e+15    4.99357e-01
    1.23833e-21         2.07583e+15    4.99340e-01
    1.23833e-21         1.96490e+15    4.99330e-01
    1.23833e-21         1.84108e+15    4.99320e-01
    1.23833e-21         1.70005e+15    4.99309e-01
    1.23833e-21         1.53465e+15    4.99296e-01
    1.23833e-21         1.43316e+15    4.99289e-01
    1.23833e-21         1.31679e+15    4.99282e-01
    1.23833e-21         1.24787e+15    4.99278e-01
    1.23833e-21         1.17112e+15    4.99273e-01
    1.23833e-21         1.08399e+15    4.99268e-01
    1.23833e-21         9.82282e+14    4.99263e-01
    1.23833e-21         9.20352e+14    4.99260e-01
    1.23833e-21         8.49808e+14    4.99256e-01
    1.23833e-21         7.67065e+14    4.99253e-01
    1.23833e-21         7.16287e+14    4.99251e-01
    1.23833e-21         6.58055e+14    4.99248e-01
    1.23833e-21         6.23557e+14    4.99247e-01
    1.23833e-21         5.85137e+14    4.99246e-01
    1.23833e-21         5.41506e+14    4.99244e-01
    1.23833e-21         4.90560e+14    4.99243e-01
    1.23833e-21         4.59522e+14    4.99242e-01
    1.23833e-21         4.24149e+14    4.99241e-01
    1.23833e-21         3.82631e+14    4.99240e-01
    1.23833e-21         3.57122e+14    4.99239e-01
    1.23833e-21         3.27838e+14    4.99238e-01
    1.23833e-21         3.10464e+14    4.99238e-01
    1.23833e-21         2.91091e+14    4.99238e-01
    1.23833e-21         2.69054e+14    4.99237e-01
    1.23833e-21         2.43258e+14    4.99237e-01
    1.23833e-21         2.27480e+14    4.99237e-01
    1.23833e-21         2.09437e+14    4.99236e-01
